player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints
683,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.01,0,2,0,1,85,60,0.0,0.0,8,0,0.0,7,0.0,0,3,5,2,4,0,1,5,5,5,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
260,25-26-prem-crystal-palace-vs-sunderland,90,0,0,1,0.02,0.01,0,0,0,1,93,74,0.0,1.0,7,0,0.0,3,0.0,0,2,6,0,4,3,0,2,1,0,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
541,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.01,0,2,0,0,60,35,0.0,0.0,9,0,0.0,1,0.0,0,0,4,1,4,4,0,7,4,4,0.0,3,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
257,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.02,0,0,0,1,89,78,0.0,0.0,5,0,0.0,3,0.0,0,1,3,1,2,2,0,3,0,2,0.0,1,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
543,25-26-prem-crystal-palace-vs-sunderland,69,0,0,0,0.0,0.13,0,2,0,1,25,9,0.0,1.0,0,1,0.0,1,0.0,0,0,2,0,1,1,0,6,2,4,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
552,25-26-prem-crystal-palace-vs-sunderland,84,0,0,1,0.02,0.01,0,2,0,1,43,25,0.0,0.0,2,1,0.0,1,0.0,0,1,3,0,2,1,0,7,2,6,0.0,1,0.0,3,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
261,25-26-prem-crystal-palace-vs-sunderland,90,0,0,1,0.2,0.03,0,0,0,4,75,55,0.0,1.0,4,1,0.0,3,0.0,0,0,3,0,4,4,2,5,6,2,0.0,3,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
253,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.0,0,0,0,0,43,28,0.0,0.0,8,0,0.0,9,0.0,0,0,8,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,28,9,,0,0,0,0,0.0,0.0,0.0,0,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
258,25-26-prem-crystal-palace-vs-sunderland,90,0,0,0,0.0,0.14,0,0,0,0,67,30,0.0,1.0,2,2,0.0,1,0.0,0,1,4,1,4,2,0,2,5,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
256,25-26-prem-crystal-palace-vs-sunderland,90,0,0,2,0.11,0.06,1,0,0,4,54,28,0.0,0.0,1,1,0.0,1,0.0,0,0,2,0,3,3,2,7,7,2,0.0,5,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.44,1,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
270,25-26-prem-crystal-palace-vs-sunderland,90,0,0,1,0.04,0.21,0,0,0,0,48,27,0.0,2.0,7,1,0.0,3,0.0,0,0,2,0,2,0,1,1,4,1,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
271,25-26-prem-crystal-palace-vs-sunderland,90,0,0,2,0.07,0.22,2,0,0,2,39,24,0.0,1.0,1,0,0.0,2,0.0,0,0,1,0,1,1,1,2,3,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.32,1,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
553,25-26-prem-crystal-palace-vs-sunderland,90,0,0,1,0.21,0.13,0,0,0,6,32,15,0.0,1.0,1,0,0.0,2,0.0,0,0,2,0,2,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
