id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
87,a,100.0,100.0,5.0,249,152,0,0,0,0,0.1,529,189,7,4,1.8,270,128,0,24,1.5,220,98,0.3,1.4,0,2495,103,6524,53,1.5,2.0,0.15,0.06,0.21,1.6,0.1,0.04,0.14,1.05,18.0,297,137,18.9,218,136,11.0,243,134,4.9,296,149,4.0,,,6,,Ryan,Christie,Christie,,2025-09-13T21:30:07.956994+00:00,137,0,1,0,2,0,0,0,0,0,0,1,21,,,,0.0,0.0,1.31,0.66,13.8
89,u,0.0,0.0,4.9,315,196,0,0,-1,1,0.0,623,257,0,0,0.0,665,280,0,0,0.0,650,271,0.0,0.0,0,598,0,5762,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,274,0.0,653,275,0.0,631,269,0.0,660,275,,,,6,,Philip,Billing,Philip,Has joined Midtjylland permanently.,2025-08-27T12:49:57.472718+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
344,a,100.0,100.0,3.9,720,225,0,0,-1,1,0.1,424,162,0,0,0.0,421,148,0,0,0.0,390,138,0.0,0.0,0,5808,108,11496,205,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411,150,0.0,389,145,0.0,349,126,0.0,413,150,,,,6,,Jaka,Bijol,Bijol,,2025-07-21T10:00:04.901206+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
347,a,100.0,100.0,4.0,643,172,0,0,0,0,5.8,65,25,22,1,3.7,98,43,6,61,3.5,70,25,0.9,5.5,0,543647,3771,192929,2802,3.0,3.0,0.17,0.36,0.53,7.31,0.03,0.06,0.09,1.24,83.6,94,43,74.1,58,11,27.0,155,33,18.5,76,19,,,,6,,Gabriel,Gudmundsson,Gudmundsson,,2025-08-31T01:00:08.219642+00:00,529,0,0,2,9,1,0,0,1,0,0,6,41,,,,0.0,0.34,1.53,1.02,6.98
730,a,,,5.5,154,37,0,0,0,0,0.1,556,73,2,1,1.0,385,40,0,6,0.7,310,35,0.1,0.4,0,9096,113,3883,157,0.2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.46,1.0,398,44,0.1,380,44,0.0,719,75,0.1,404,45,,,,6,,Brian,Brobbey,Brobbey,,,26,0,0,0,0,0,0,0,0,0,0,0,5,,,,0.0,0.0,0.0,0.0,17.31
608,a,,,4.4,576,151,0,0,-1,1,0.0,611,211,0,0,0.0,568,221,0,0,0.0,546,219,0.0,0.0,0,465,4,1899,12,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559,224,0.0,545,223,0.0,515,213,0.0,561,224,,,,6,,Ollie,Scarles,Scarles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
611,u,0.0,0.0,4.0,683,195,0,0,0,0,0.1,478,178,0,0,0.0,501,189,0,0,0.0,472,181,0.0,0.0,0,0,0,9262,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,191,0.0,474,189,0.0,437,173,0.0,493,191,,,,6,,Kaelan,Casey,Casey,Has joined Swansea City on loan for the rest of the season.,2025-08-11T01:20:17.436361+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
258,a,,,5.0,269,42,0,0,0,0,2.0,130,50,34,4,5.7,25,13,2,137,6.0,10,5,1.2,6.8,0,144916,7208,75826,744,6.0,5.0,0.28,0.46,0.74,6.82,0.05,0.08,0.13,1.14,134.2,20,6,107.3,25,4,37.0,119,21,27.9,24,3,,,,6,,Tyrick,Mitchell,Mitchell,,,540,1,0,3,3,0,0,0,2,0,0,6,51,,,,0.0,0.5,0.5,1.0,8.5
348,a,100.0,100.0,4.0,633,167,0,0,0,0,4.7,76,30,29,7,4.8,49,23,2,97,5.0,28,13,1.2,7.2,0,441690,16857,148729,1174,4.5,4.5,0.33,0.01,0.34,7.34,0.06,0.0,0.06,1.22,97.8,69,31,2.8,329,115,4.0,298,100,10.5,176,59,,,,6,,Joe,Rodon,Rodon,,2025-09-05T10:00:06.564684+00:00,540,1,0,2,9,0,0,0,0,0,0,6,56,,,,0.0,0.33,1.5,1.0,9.33
349,u,0.0,0.0,4.0,673,188,0,0,0,0,0.1,473,176,0,0,0.0,493,184,0,0,0.0,464,176,0.0,0.0,0,788,0,11572,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483,186,0.0,466,184,0.0,429,168,0.0,485,186,,,,6,,Isaac,Schmidt,Schmidt,has joined Werder Bremen on loan for the rest of the season.,2025-09-02T12:00:32.361624+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
498,u,0.0,0.0,4.5,434,255,0,0,0,0,0.0,709,308,0,0,0.0,608,240,0,0,0.0,588,226,0.0,0.0,0,0,0,953,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599,230,0.0,591,232,0.0,565,222,0.0,601,231,,,,6,,Joe,White,White,Has joined Leyton Orient on loan for the rest of the season.,2025-07-30T14:07:15.215025+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
500,a,,,5.5,165,40,0,0,0,0,0.4,283,47,10,0,2.0,246,21,0,38,1.0,277,25,0.2,1.8,0,57553,413,51570,579,1.5,1.0,0.4,0.02,0.42,1.28,0.26,0.01,0.27,0.85,37.0,219,20,13.5,251,22,31.0,140,28,7.9,232,23,,,,6,,William,Osula,Osula,,,136,1,0,1,1,0,0,0,0,0,0,1,6,,,,0.0,0.66,0.66,0.66,3.97
501,a,,,4.4,594,80,0,0,-1,1,0.2,341,54,0,0,0.0,584,59,0,0,0.0,562,55,0.0,0.0,0,9741,195,16118,200,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575,57,0.0,561,57,0.0,532,55,0.0,577,58,,,,6,,Sean,Neave,Neave,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
569,a,,,5.1,236,34,0,0,1,-1,7.4,54,19,31,2,5.2,35,16,3,121,4.5,37,16,0.9,6.1,1,581073,6401,222992,3363,5.0,4.5,0.1,0.24,0.34,7.0,0.02,0.04,0.06,1.17,126.0,28,9,26.5,175,46,43.0,94,11,19.5,71,18,,,,6,,Cristian,Romero,Romero,,,540,0,1,3,4,0,0,0,2,0,0,6,46,,,,0.0,0.5,0.67,1.0,7.67
570,a,,,4.3,602,155,0,0,-2,2,0.2,393,145,2,0,1.0,333,119,0,7,0.2,349,119,0.0,0.5,0,8163,269,16076,145,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,351,132,0.8,355,128,0.0,466,194,0.7,379,133,,,,6,,Kevin,Danso,Danso,,,11,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,16.36
571,d,75.0,75.0,4.4,517,120,0,0,-1,1,0.1,496,183,0,0,0.0,535,213,0,0,0.0,509,208,0.0,0.0,0,1842,3,6217,104,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526,216,0.0,511,215,0.0,477,202,0.0,528,216,,,,6,,Ben,Davies,Davies,Knee injury - 75% chance of playing,2025-09-24T06:00:06.226008+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
663,a,,,5.2,232,146,0,0,-3,3,0.2,333,111,11,5,1.8,273,129,0,46,2.2,152,63,0.4,2.1,0,5793,123,53638,308,2.2,2.2,0.25,0.2,0.45,3.83,0.08,0.07,0.15,1.29,30.2,244,111,48.5,89,62,36.0,123,76,11.4,161,84,1.0,,,6,,Jhon,Arias,J.Arias,,,267,0,0,1,5,0,0,0,0,0,0,3,32,,,,0.0,0.34,1.69,1.01,10.79
289,a,,,4.0,650,63,0,0,0,0,0.1,450,70,0,0,0.0,474,52,0,0,0.0,445,51,0.0,0.0,0,1937,18,4028,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464,52,0.0,447,35,0.0,409,28,0.0,466,52,,,,6,,Harry,Tyrer,Tyrer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
